candidate,party,constituency,votes,result,sex,province,district
Ganesh Singh Thagunna,CPN (Unified Marxist-Leninist),Darchula-1,"18,891",Winner 🏆,♂ Male,Sudurpashchim Province,Darchula
Prakash Rajouriya,Rastriya Swatantra Party,Kapilvastu-3,"18,890",Declared,♂ Male,Lumbini Province,Kapilvastu
Dhruva Kumar Shahi,CPN (Unified Marxist-Leninist),Surkhet-1,"18,890",Declared,♂ Male,Karnali Province,Surkhet
Bharat Raj Dhakal,Nepali Congress,Syangja-1,"18,857",Declared,♂ Male,Gandaki Province,Syangja
Mahesh Kumar Bartaula,CPN (Unified Marxist-Leninist),Makwanpur-2,"18,846",Declared,♂ Male,Bagmati Province,Makwanpur
Raju Nath Pandey,Rastriya Swatantra Party,Kathmandu-3,"18,757",Winner 🏆,♂ Male,Bagmati Province,Kathmandu
KP Sharma Oli,CPN (Unified Marxist-Leninist),Jhapa-5,"18,734",Declared,♂ Male,Koshi Province,Jhapa
Bivek Kumar Shrestha,Rastriya Swatantra Party,Banke-2,"18,682",Declared,♂ Male,Lumbini Province,Banke
Prakash Sharan Mahat,Nepali Congress,Nuwakot-1,"18,597",Declared,♂ Male,Bagmati Province,Nuwakot
Ain Bahadur Mahar,CPN (Unified Marxist-Leninist),Bajhang-1,"18,543",Winner 🏆,♂ Male,Sudurpashchim Province,Bajhang
Kirana Kumara Sah,Nepali Communist Party,Rautahat-2,"18,442",Declared,♂ Male,Madhesh Province,Rautahat
Dr. Govind Raj Pokharel,Nepali Congress,Pyuthan-1,"18,338",Declared,♂ Male,Lumbini Province,Pyuthan
Sandip Rana,Nepali Congress,Palpa-1,"18,336",Winner 🏆,♂ Male,Lumbini Province,Palpa
Chatur Bahadur Chanda,Nepali Congress,Baitadi-1,"18,194",Declared,♂ Male,Sudurpashchim Province,Baitadi
Rajendra Kumar Rai,CPN (Unified Marxist-Leninist),Dhankuta-1,"18,132",Winner 🏆,♂ Male,Koshi Province,Dhankuta
Aashish Gajurel,Rastriya Swatantra Party,Sindhuli-2,"17,940",Winner 🏆,♂ Male,Bagmati Province,Sindhuli
Madhu Prasada Aachary,Nepali Congress,Kavrepalanchok-2,"17,868",Declared,♂ Male,Bagmati Province,Kavrepalanchok
Komala Jnyavali,Rastriya Swatantra Party,Kailali-1,"17,826",Winner 🏆,♀ Female,Sudurpashchim Province,Kailali
Madhav Prasad Dhungel,CPN (Unified Marxist-Leninist),Ramechhap-1,"17,609",Declared,♂ Male,Bagmati Province,Ramechhap
Sudhansu Koirala,Nepali Congress,Banke-2,"17,596",Declared,♂ Male,Lumbini Province,Banke
Kesh Bahadur Bista,Nepali Congress,Salyan-1,"17,558",Declared,♂ Male,Karnali Province,Salyan
Shanti Pakhrin Lama,Shram Sanskriti Party,Morang-1,"17,522",Declared,♀ Female,Koshi Province,Morang
Parvata Gurung,CPN (Unified Marxist-Leninist),Dolakha-1,"17,449",Declared,♂ Male,Bagmati Province,Dolakha
Shakti Bahadur Basnet,Nepali Communist Party,Jajarkot-1,"17,407",Declared,♂ Male,Karnali Province,Jajarkot
Madhava Sapakota,Nepali Communist Party,Sindhupalchok-1,"17,327",Declared,♂ Male,Bagmati Province,Sindhupalchok
Rajendra Prasad Lingden,Rastriya Prajatantra Party,Jhapa-3,"17,294",Declared,♂ Male,Koshi Province,Jhapa
Narendra Kumar Kerung,Nepali Congress,Panchthar-1,"17,233",Winner 🏆,♂ Male,Koshi Province,Panchthar
Janak Raj Giri,Nepali Congress,Bajura-1,"17,173",Winner 🏆,♂ Male,Sudurpashchim Province,Bajura
Damodar Bhandari,CPN (Unified Marxist-Leninist),Baitadi-1,"17,091",Declared,♂ Male,Sudurpashchim Province,Baitadi
