candidate,party,constituency,votes,result,sex,province,district
Tek Bahadur Singh Thakuri,Rastriya Swatantra Party,Surkhet-1,"14,729",Declared,♂ Male,Karnali Province,Surkhet
Oma Bahadura Gharti,Nepali Congress,Nawalpur-2,"14,713",Declared,♂ Male,Gandaki Province,Nawalpur
Rajendra Prasad Pandey,Nepali Communist Party,Dhading-1,"14,709",Declared,♂ Male,Bagmati Province,Dhading
Bhesharaja Aachary,Nepali Congress,Ilam-2,"14,650",Declared,♂ Male,Koshi Province,Ilam
Salik Ram Adhikari,CPN (Unified Marxist-Leninist),Bardiya-1,"14,643",Declared,♂ Male,Lumbini Province,Bardiya
Atahar Kamal Musalman,Nepali Congress,Kapilvastu-1,"14,582",Declared,♂ Male,Lumbini Province,Kapilvastu
Meena Kumari Kharel,Nepali Congress,Chitwan-2,"14,564",Declared,♀ Female,Bagmati Province,Chitwan
Nishkala Raee,Nepali Congress,Ilam-1,"14,543",Winner 🏆,♂ Male,Koshi Province,Ilam
Aindra Sundar Nembang,CPN (Unified Marxist-Leninist),Panchthar-1,"14,534",Declared,♂ Male,Koshi Province,Panchthar
Bhuwan Prasad Shrestha,Nepali Congress,Gulmi-2,"14,434",Declared,♂ Male,Lumbini Province,Gulmi
Sudipa Raee,Shram Sanskriti Party,Ilam-2,"14,400",Declared,♂ Male,Koshi Province,Ilam
Janardana Sharma,Progressive Democratic Party,Rukum West-1,"14,346",Declared,♂ Male,Karnali Province,Rukum West
Vimala Pant,Rastriya Swatantra Party,Palpa-1,"14,333",Declared,♂ Male,Lumbini Province,Palpa
Umesh Kumar Yadav,Janata Samajwadi Party Nepal,Saptari-2,"14,263",Declared,♂ Male,Madhesh Province,Saptari
Dinesh Rai,Nepali Congress,Dhankuta-1,"14,257",Declared,♂ Male,Koshi Province,Dhankuta
Shambhu Bahadura Budhathoki,Nepali Congress,Bara-1,"14,223",Declared,♂ Male,Madhesh Province,Bara
Ramakishora Prasada Yadav,Janata Samajwadi Party Nepal,Bara-2,"14,196",Declared,♂ Male,Madhesh Province,Bara
Dina Natha Gautam,Nepali Communist Party,Kavrepalanchok-1,"14,184",Declared,♂ Male,Bagmati Province,Kavrepalanchok
Shankar Bhandari,Nepali Congress,Tanahun-2,"14,135",Declared,♂ Male,Gandaki Province,Tanahun
Deepak Bahadur Dhami,CPN (Unified Marxist-Leninist),Doti-1,"14,110",Declared,♂ Male,Sudurpashchim Province,Doti
Khim Bahadur Thapa,CPN (Unified Marxist-Leninist),Syangja-2,"14,108",Declared,♂ Male,Gandaki Province,Syangja
Mahalaxmi Upadhyay (Dina),Nepali Congress,Makwanpur-1,"14,038",Declared,♀ Female,Bagmati Province,Makwanpur
Jhalaka Kumara Shresh‍th,Rastriya Swatantra Party,Sindhupalchok-2,"14,019",Declared,♂ Male,Bagmati Province,Sindhupalchok
Khitiz Thebe,CPN (Unified Marxist-Leninist),Taplejung-1,"13,962",Winner 🏆,♂ Male,Koshi Province,Taplejung
Brish Raj Pokharel,Rastriya Swatantra Party,Okhaldhunga-1,"13,953",Winner 🏆,♂ Male,Koshi Province,Okhaldhunga
Kumar Luitel,Nepali Congress,Okhaldhunga-1,"13,948",Declared,♂ Male,Koshi Province,Okhaldhunga
Ashoka Kumara Byanyju Shreshth,CPN (Unified Marxist-Leninist),Kavrepalanchok-2,"13,940",Declared,♂ Male,Bagmati Province,Kavrepalanchok
Laxmi Prasad Pokharel,CPN (Unified Marxist-Leninist),Dailekh-2,"13,889",Winner 🏆,♂ Male,Karnali Province,Dailekh
Ami Tamang,CPN (Unified Marxist-Leninist),Kavrepalanchok-1,"13,814",Declared,♂ Male,Bagmati Province,Kavrepalanchok
Vinoda Nembangga Limbu,Shram Sanskriti Party,Ilam-1,"13,632",Declared,♂ Male,Koshi Province,Ilam
Udaya Shanshera Ja.ba.rana,Nepali Congress,Lalitpur-1,"13,520",Declared,♂ Male,Bagmati Province,Lalitpur
Chandrakant Bhandari,Nepali Congress,Gulmi-1,"13,505",Declared,♂ Male,Lumbini Province,Gulmi
Hit Bahadur Tamang,Nepali Communist Party,Nuwakot-1,"13,377",Declared,♂ Male,Bagmati Province,Nuwakot
Shyam Kumar Shrestha,Nepali Communist Party,Ramechhap-1,"13,354",Declared,♂ Male,Bagmati Province,Ramechhap
Naryan Kaji Shrestha,Nepali Communist Party,Sarlahi-3,"13,338",Declared,♂ Male,Madhesh Province,Sarlahi
Dipen Kumar Shrestha,Nepali Congress,Sankhuwasabha-1,"13,271",Declared,♂ Male,Koshi Province,Sankhuwasabha
Narendra Bahadur Khadka,Rastriya Swatantra Party,Doti-1,"13,270",Declared,♂ Male,Sudurpashchim Province,Doti
Amar Singh Pun,Nepali Congress,Banke-3,"13,215",Declared,♂ Male,Lumbini Province,Banke
Prakash Singh Karki,Nepali Congress,Solukhumbu-1,"13,166",Winner 🏆,♂ Male,Koshi Province,Solukhumbu
Kulmani Devkota,CPN (Unified Marxist-Leninist),Surkhet-2,"13,155",Declared,♂ Male,Karnali Province,Surkhet
Teju Lal Chaudhary,Nepali Congress,Saptari-4,"13,103",Declared,♂ Male,Madhesh Province,Saptari
Khim Lal Bhattarai,CPN (Unified Marxist-Leninist),Rupandehi-5,"13,100",Declared,♂ Male,Lumbini Province,Rupandehi
Vishala Khadka,Nepali Communist Party,Dolakha-1,"13,065",Declared,♂ Male,Bagmati Province,Dolakha
Rajendra Prasad Burlakoti,Nepali Congress,Chitwan-1,"13,033",Declared,♂ Male,Bagmati Province,Chitwan
Pradip Yadav,CPN (Unified Marxist-Leninist),Parsa-1,"13,030",Declared,♂ Male,Madhesh Province,Parsa
Himal Datta Shrestha,Nepali Congress,Palpa-2,"12,992",Declared,♂ Male,Lumbini Province,Palpa
Jankaraj Chaudhary,Nepali Congress,Kailali-1,"12,867",Declared,♂ Male,Sudurpashchim Province,Kailali
Bishnu Prasad Paudel,CPN (Unified Marxist-Leninist),Rupandehi-2,"12,861",Declared,♂ Male,Lumbini Province,Rupandehi
Dr. Shekhar Koirala,Nepali Congress,Morang-6,"12,850",Declared,♂ Male,Koshi Province,Morang
Guru Raj Ghimire,Nepali Congress,Morang-4,"12,818",Declared,♂ Male,Koshi Province,Morang
Ram Chandra Yadav,Nepali Congress,Siraha-2,"12,814",Declared,♂ Male,Madhesh Province,Siraha
Rameshwar Rana Magar,CPN (Unified Marxist-Leninist),Makwanpur-1,"12,783",Declared,♂ Male,Bagmati Province,Makwanpur
Manoj Gurung,Nepali Congress,Kaski-3,"12,780",Declared,♂ Male,Gandaki Province,Kaski
Minendra Prasad Rijal,Nepali Congress,Morang-2,"12,764",Declared,♂ Male,Koshi Province,Morang
Sanjay Kumar Gautam,Nepali Congress,Bardiya-1,"12,722",Declared,♂ Male,Lumbini Province,Bardiya
Dev Bikram Rai,CPN (Unified Marxist-Leninist),Khotang-1,"12,714",Declared,♂ Male,Koshi Province,Khotang
Som Sharma,Rastriya Swatantra Party,Baglung-2,"12,647",Winner 🏆,♂ Male,Gandaki Province,Baglung
Giriraj Mani Pokharel,Nepali Communist Party,Mahottari-1,"12,624",Declared,♂ Male,Madhesh Province,Mahottari
Bharat Kumar Shah,Nepali Congress,Rupandehi-5,"12,624",Declared,♂ Male,Lumbini Province,Rupandehi
Ramesh Rijal,Nepali Congress,Parsa-4,"12,534",Declared,♂ Male,Madhesh Province,Parsa
Lava Shera Visht,Nepali Communist Party,Makwanpur-2,"12,492",Declared,♂ Male,Bagmati Province,Makwanpur
Basana Thapa,Nepali Congress,Dailekh-1,"12,372",Winner 🏆,♀ Female,Karnali Province,Dailekh
Ajaya Babu Shivakoti,Nepali Congress,Dolakha-1,"12,298",Declared,♂ Male,Bagmati Province,Dolakha
Ghanshyam Pandey,CPN (Unified Marxist-Leninist),Dang-3,"12,195",Declared,♂ Male,Lumbini Province,Dang
Jalim Miya Mansuri,CPN (Unified Marxist-Leninist),Parsa-4,"12,145",Declared,♂ Male,Madhesh Province,Parsa
Nain Singh Mahar,Nepali Congress,Dadeldhura-1,"12,121",Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Sudan Kumar Oli,Nepali Congress,Rolpa-1,"12,008",Declared,♂ Male,Lumbini Province,Rolpa
Lal Prasad Sawa Limbu,CPN (Unified Marxist-Leninist),Jhapa-4,"11,986",Declared,♂ Male,Koshi Province,Jhapa
Khadga Bahadur Phago,Nepali Congress,Morang-1,"11,986",Declared,♂ Male,Koshi Province,Morang
Viramana Chaudhari,Nepali Communist Party,Kailali-3,"11,983",Declared,♂ Male,Sudurpashchim Province,Kailali
Hira Bahadur Khatri,Nepali Congress,Rupandehi-1,"11,982",Declared,♂ Male,Lumbini Province,Rupandehi
Kaji Mana Kagate,CPN (Unified Marxist-Leninist),Ilam-1,"11,966",Declared,♂ Male,Koshi Province,Ilam
Saresha Nepal,CPN (Unified Marxist-Leninist),Sindhupalchok-1,"11,961",Declared,♂ Male,Bagmati Province,Sindhupalchok
Nar Narayan Shah,Nepali Congress,Kailali-5,"11,958",Declared,♂ Male,Sudurpashchim Province,Kailali
Bir Kaji Rai,Nepali Congress,Khotang-1,"11,957",Declared,♂ Male,Koshi Province,Khotang
Govinda Chaudhari,Janata Samajwadi Party Nepal,Rautahat-3,"11,954",Declared,♂ Male,Madhesh Province,Rautahat
Pati Ram Chaudhary,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kailali-2,"11,949",Declared,♂ Male,Sudurpashchim Province,Kailali
Bhim Bahadur Shrees Rana,Nepali Congress,Baglung-1,"11,944",Declared,♂ Male,Gandaki Province,Baglung
San Bahadur Rai,Shram Sanskriti Party,Dhankuta-1,"11,932",Declared,♂ Male,Koshi Province,Dhankuta
Rupesh Kumar Pandey,CPN (Unified Marxist-Leninist),Parsa-3,"11,914",Declared,♂ Male,Madhesh Province,Parsa
Ajay Kumar Chaurasiya,Nepali Congress,Parsa-2,"11,890",Declared,♂ Male,Madhesh Province,Parsa
Anil Kumar Rungata,Nepali Congress,Parsa-1,"11,885",Declared,♂ Male,Madhesh Province,Parsa
Tek Raj Paudel,Nepali Congress,Baglung-2,"11,868",Declared,♂ Male,Gandaki Province,Baglung
Bhaiyarama Prasada Yadav,Nepali Congress,Bara-2,"11,837",Declared,♂ Male,Madhesh Province,Bara
Ravindra Raj Sharma,CPN (Unified Marxist-Leninist),Dailekh-1,"11,796",Declared,♂ Male,Karnali Province,Dailekh
Mahendra Bahadur Shahi,Nepali Communist Party,Kalikot-1,"11,734",Winner 🏆,♂ Male,Karnali Province,Kalikot
Gajendra Prasad Tumyang Limbu,Nepali Congress,Taplejung-1,"11,711",Declared,♂ Male,Koshi Province,Taplejung
Prakash Chandra Dawadi,Nepali Congress,Gorkha-2,"11,700",Declared,♂ Male,Gandaki Province,Gorkha
Kedar Sigdel,CPN (Unified Marxist-Leninist),Tanahun-2,"11,668",Declared,♂ Male,Gandaki Province,Tanahun
Achyuta Prasada Mainali,CPN (Unified Marxist-Leninist),Bara-1,"11,645",Declared,♂ Male,Madhesh Province,Bara
Krishna Kumara Shreshth,CPN (Unified Marxist-Leninist),Bara-4,"11,639",Declared,♂ Male,Madhesh Province,Bara
Naresh Bhandari,Nepali Communist Party,Jumla-1,"11,635",Declared,♂ Male,Karnali Province,Jumla
Rajesh Kumar Rai,Shram Sanskriti Party,Udayapur-1,"11,606",Declared,♂ Male,Koshi Province,Udayapur
Manoj Jung Thapa,CPN (Unified Marxist-Leninist),Sindhuli-2,"11,606",Declared,♂ Male,Bagmati Province,Sindhuli
Rima Kumari Yadav,CPN (Unified Marxist-Leninist),Parsa-2,"11,605",Declared,♀ Female,Madhesh Province,Parsa
Santosha Subva,Nepali Congress,Tehrathum-1,"11,561",Winner 🏆,♂ Male,Koshi Province,Tehrathum
Kiran Kishor Ghimire,Nepali Congress,Dang-2,"11,558",Declared,♂ Male,Lumbini Province,Dang
Raghubira Mahaseth,CPN (Unified Marxist-Leninist),Dhanusha-4,"11,529",Declared,♂ Male,Madhesh Province,Dhanusha
Hark Bahadur Nembang,Nepali Communist Party,Panchthar-1,"11,443",Declared,♂ Male,Koshi Province,Panchthar
Dev Raj Ghimire,CPN (Unified Marxist-Leninist),Jhapa-2,"11,368",Declared,♂ Male,Koshi Province,Jhapa
Gorakh Bahadur Bista,Nepali Congress,Kailali-4,"11,301",Declared,♂ Male,Sudurpashchim Province,Kailali
Ambir Babu Gurung,Nepali Communist Party,Okhaldhunga-1,"11,296",Declared,♂ Male,Koshi Province,Okhaldhunga
Janga Bahadura Lama,Nepali Congress,Sindhupalchok-1,"11,293",Declared,♂ Male,Bagmati Province,Sindhupalchok
Tilak Bahadur Ranabhat,Nepali Congress,Kaski-1,"11,214",Declared,♂ Male,Gandaki Province,Kaski
Kulman Ghising,Ujyalo Nepal Party,Kathmandu-3,"11,171",Declared,♂ Male,Bagmati Province,Kathmandu
Hari Raj Adhikari,Nepali Communist Party,Gorkha-1,"11,124",Declared,♂ Male,Gandaki Province,Gorkha
Bina Magar,Nepali Communist Party,Kanchanpur-1,"11,110",Declared,♀ Female,Sudurpashchim Province,Kanchanpur
Surya Prasad Dhakal,CPN (Unified Marxist-Leninist),Banke-1,"11,095",Declared,♂ Male,Lumbini Province,Banke
Lekhnath Neupane,Nepali Communist Party,Gorkha-2,"11,073",Declared,♂ Male,Gandaki Province,Gorkha
Mahesh Basnet,CPN (Unified Marxist-Leninist),Bhaktapur-2,"10,996",Declared,♂ Male,Bagmati Province,Bhaktapur
Dawa Dorje Lama,CPN (Unified Marxist-Leninist),Chitwan-1,"10,899",Declared,♂ Male,Bagmati Province,Chitwan
Balram Thapa,Rastriya Swatantra Party,Rolpa-1,"10,894",Declared,♂ Male,Lumbini Province,Rolpa
Narayan Prakash Saud,Nepali Congress,Kanchanpur-2,"10,827",Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Bijay Gautam,Nepali Communist Party,Makwanpur-1,"10,788",Declared,♂ Male,Bagmati Province,Makwanpur
Bimala Vi.ka.,CPN (Unified Marxist-Leninist),Bardiya-2,"10,772",Declared,♀ Female,Lumbini Province,Bardiya
Aman Lal Modi,Nepali Communist Party,Morang-4,"10,762",Declared,♂ Male,Koshi Province,Morang
Bharat Kumar Swar,Nepali Congress,Achham-1,"10,759",Winner 🏆,♂ Male,Sudurpashchim Province,Achham
Asmita Thapa,CPN (Unified Marxist-Leninist),Okhaldhunga-1,"10,720",Declared,♀ Female,Koshi Province,Okhaldhunga
Jnyamanatha Gaire,Nepali Communist Party,Baglung-2,"10,709",Declared,♂ Male,Gandaki Province,Baglung
Ajaya Kumara Gup‍ta,CPN (Unified Marxist-Leninist),Rautahat-1,"10,693",Declared,♂ Male,Madhesh Province,Rautahat
Bhanu Bhakta Dhakal,CPN (Unified Marxist-Leninist),Tehrathum-1,"10,682",Declared,♂ Male,Koshi Province,Tehrathum
Mohan Acharya,Nepali Congress,Rasuwa-1,"10,656",Winner 🏆,♂ Male,Bagmati Province,Rasuwa
Shree Nagindra Shahi,CPN (Unified Marxist-Leninist),Kalikot-1,"10,647",Declared,♂ Male,Karnali Province,Kalikot
Keshav Raj Pandey,Nepali Congress,Jhapa-1,"10,550",Declared,♂ Male,Koshi Province,Jhapa
Thakur Prasad Gaire,CPN (Unified Marxist-Leninist),Palpa-2,"10,503",Declared,♂ Male,Lumbini Province,Palpa
Matrika Prasada Yadav,Nepali Communist Party,Dhanusha-1,"10,430",Winner 🏆,♂ Male,Madhesh Province,Dhanusha
Vaina Bahadura Kshetri(adhikari),CPN (Unified Marxist-Leninist),Kaski-1,"10,429",Declared,♂ Male,Gandaki Province,Kaski
Vanvi Sinh,Janata Samajwadi Party Nepal,Saptari-4,"10,280",Declared,♀ Female,Madhesh Province,Saptari
Pushpa Kamala Dahala Prachand,Nepali Communist Party,Rukum East-1,"10,240",Winner 🏆,♂ Male,Lumbini Province,Rukum East
Bhim Bahadur Rawal,Nepali Communist Party,Achham-1,"10,233",Declared,♂ Male,Sudurpashchim Province,Achham
Surendra Lama,Ujyalo Nepal Party,Makwanpur-1,"10,205",Declared,♂ Male,Bagmati Province,Makwanpur
Dinesha Prasada Yadava Parasaila,Nepali Congress,Dhanusha-2,"10,198",Declared,♂ Male,Madhesh Province,Dhanusha
Sharat Singh Bhandari,Janata Samajwadi Party Nepal,Mahottari-2,"10,198",Declared,♂ Male,Madhesh Province,Mahottari
Lilanath Shrestha,CPN (Unified Marxist-Leninist),Siraha-3,"10,156",Declared,♂ Male,Madhesh Province,Siraha
Umashankara Aragariya,CPN (Unified Marxist-Leninist),Dhanusha-2,"10,153",Declared,♂ Male,Madhesh Province,Dhanusha
Dhan Bahadur Ghale,CPN (Unified Marxist-Leninist),Dhading-2,"10,084",Declared,♂ Male,Bagmati Province,Dhading
Krishna Rijal,Nepali Congress,Dhading-1,"10,080",Declared,♂ Male,Bagmati Province,Dhading
Pharamullaha Mansur,Nepali Congress,Bara-3,"10,052",Declared,♂ Male,Madhesh Province,Bara
Bal Dev Chaudhary,Nepali Communist Party,Udayapur-1,"10,021",Declared,♂ Male,Koshi Province,Udayapur
Kevalram Rai,Shram Sanskriti Party,Jhapa-1,"10,004",Declared,♂ Male,Koshi Province,Jhapa
Dinesh Bhandari,Rastriya Swatantra Party,Dhankuta-1,"9,944",Declared,♂ Male,Koshi Province,Dhankuta
Vish‍vanatha Sah,Nepali Communist Party,Siraha-3,"9,942",Declared,♂ Male,Madhesh Province,Siraha
Gokul Prasad Gharti,CPN (Unified Marxist-Leninist),Rolpa-1,"9,933",Declared,♂ Male,Lumbini Province,Rolpa
Prabhu Sah,आम जनता पार्टी(एकल चुनाव चिन्ह),Rautahat-3,"9,890",Declared,♂ Male,Madhesh Province,Rautahat
Chandra Kant Raut,Janamat Party,Saptari-2,"9,880",Declared,♂ Male,Madhesh Province,Saptari
Subhash Chandra Yadav,Nepali Congress,Siraha-3,"9,879",Declared,♂ Male,Madhesh Province,Siraha
Uma Kumari Rai,Shram Sanskriti Party,Sankhuwasabha-1,"9,857",Declared,♀ Female,Koshi Province,Sankhuwasabha
Ghana Shyam Khatiwada,CPN (Unified Marxist-Leninist),Morang-1,"9,823",Declared,♂ Male,Koshi Province,Morang
Juli Kumari Mahato (mahasetha),CPN (Unified Marxist-Leninist),Dhanusha-3,"9,786",Declared,♀ Female,Madhesh Province,Dhanusha
Ram Sundar Chaudhary,Nepali Congress,Siraha-1,"9,784",Declared,♂ Male,Madhesh Province,Siraha
Rama Kumara Bhattarai,Nepali Communist Party,Rautahat-4,"9,778",Declared,♂ Male,Madhesh Province,Rautahat
Mina Bahadura Kuvanr,Nepali Communist Party,Bajhang-1,"9,757",Declared,♂ Male,Sudurpashchim Province,Bajhang
Kiran Yadav,Nepali Congress,Mahottari-2,"9,745",Declared,♀ Female,Madhesh Province,Mahottari
Bhima Baduval,Nepali Congress,Kailali-3,"9,706",Declared,♂ Male,Sudurpashchim Province,Kailali
Vidura Vasnet,Nepali Congress,Udayapur-1,"9,675",Declared,♂ Male,Koshi Province,Udayapur
Dikpal Kumar Shahi,Nepali Congress,Dailekh-2,"9,552",Declared,♂ Male,Karnali Province,Dailekh
Yagya Bahadur Bogati,CPN (Unified Marxist-Leninist),Achham-2,"9,518",Winner 🏆,♂ Male,Sudurpashchim Province,Achham
Rama Palatana Sah,Nepali Congress,Dhanusha-1,"9,502",Declared,♂ Male,Madhesh Province,Dhanusha
Vinoda Kumara Chaudhari,Nepali Congress,Parasi-1,"9,502",Declared,♂ Male,Lumbini Province,Parasi
Lekh Raj Bhatta,CPN (Unified Marxist-Leninist),Kailali-4,"9,444",Declared,♂ Male,Sudurpashchim Province,Kailali
Hari Roka,Nepali Communist Party,Khotang-1,"9,443",Declared,♂ Male,Koshi Province,Khotang
Hari Prasad Bohara,Nepali Congress,Kanchanpur-3,"9,443",Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Deu Kumar Thewe,Nepali Congress,Jhapa-4,"9,434",Declared,♂ Male,Koshi Province,Jhapa
Phul Kumar Lalwani,Nepali Congress,Morang-5,"9,415",Declared,♂ Male,Koshi Province,Morang
Ashim Rai,Nepali Communist Party,Solukhumbu-1,"9,414",Declared,♂ Male,Koshi Province,Solukhumbu
Chunna Prasad Sharma,Nepali Congress,Rupandehi-2,"9,392",Declared,♂ Male,Lumbini Province,Rupandehi
Amnish Kumar Yadav,CPN (Unified Marxist-Leninist),Sarlahi-4,"9,343",Declared,♂ Male,Madhesh Province,Sarlahi
Dhan Bahadur Maski,Nepali Communist Party,Dang-3,"9,328",Declared,♂ Male,Lumbini Province,Dang
Shekha Sagir,Rastriya Swatantra Party,Rautahat-2,"9,325",Declared,♂ Male,Madhesh Province,Rautahat
Ramachandra Mandal,CPN (Unified Marxist-Leninist),Dhanusha-1,"9,315",Declared,♂ Male,Madhesh Province,Dhanusha
Bishnu Prasad Chaudhary,Nepali Communist Party,Bardiya-1,"9,285",Declared,♂ Male,Lumbini Province,Bardiya
Shailesh Kumar Singh,Rastriya Swatantra Party,Bajhang-1,"9,263",Declared,♂ Male,Sudurpashchim Province,Bajhang
Samir Tamang,Shram Sanskriti Party,Jhapa-5,"9,233",Declared,♂ Male,Koshi Province,Jhapa
Durga Kumar Thapa,CPN (Unified Marxist-Leninist),Udayapur-1,"9,206",Declared,♂ Male,Koshi Province,Udayapur
Vimala Gadal,Rastriya Swatantra Party,Ilam-1,"9,160",Declared,♂ Male,Koshi Province,Ilam
Pradipa Paudel,Nepali Congress,Kathmandu-5,"9,159",Declared,♂ Male,Bagmati Province,Kathmandu
Bhagiratha Sapakota,CPN (Unified Marxist-Leninist),Nawalpur-1,"9,131",Declared,♂ Male,Gandaki Province,Nawalpur
Krishna Dhwoj Khadka,Nepali Communist Party,Pyuthan-1,"9,074",Declared,♂ Male,Lumbini Province,Pyuthan
Pushpa Bahadur Shah,Nepali Congress,Achham-2,"9,046",Declared,♂ Male,Sudurpashchim Province,Achham
Jitendra Kumar Shrestha,Nepali Congress,Lalitpur-3,"9,045",Declared,♂ Male,Bagmati Province,Lalitpur
Ram Bahadur Bhandari,Nepali Communist Party,Dhading-2,"9,036",Declared,♂ Male,Bagmati Province,Dhading
Rajesh Singh Samant (Saud),Rastriya Swatantra Party,Darchula-1,"8,936",Declared,♂ Male,Sudurpashchim Province,Darchula
Badri Mainali,CPN (Unified Marxist-Leninist),Nuwakot-1,"8,932",Declared,♂ Male,Bagmati Province,Nuwakot
Kabir Sharma,Nepali Congress,Kathmandu-2,"8,874",Declared,♂ Male,Bagmati Province,Kathmandu
Sachin Timilsena,Nepali Congress,Kathmandu-4,"8,824",Declared,♂ Male,Bagmati Province,Kathmandu
Jaya Pati Rokaya,Nepali Congress,Humla-1,"8,797",Winner 🏆,♂ Male,Karnali Province,Humla
Raj Kumar Yadav,Janata Samajwadi Party Nepal,Morang-5,"8,747",Declared,♂ Male,Koshi Province,Morang
Surendra Kumar Yadav,Janata Samajwadi Party Nepal,Mahottari-4,"8,742",Declared,♂ Male,Madhesh Province,Mahottari
Balkrishna Thapa,Nepali Congress,Bhojpur-1,"8,670",Declared,♂ Male,Koshi Province,Bhojpur
Hira Bahadur Khatri,CPN (Unified Marxist-Leninist),Baglung-1,"8,640",Declared,♂ Male,Gandaki Province,Baglung
