province,district,districtNp,code,name,nameNp,status,lastUpdated,votesCast,totalVoters
Gandaki,Gorkha,गोरखा,4-गोरखा-1,Gorkha-1,गोरखा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,61390,120507
Gandaki,Gorkha,गोरखा,4-गोरखा-2,Gorkha-2,गोरखा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,54147,108506
Gandaki,Manang,मनाङ,4-मनाङ-1,Manang-1,मनाङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,2878,7000
Gandaki,Lamjung,लमजुङ,4-लमजुङ-1,Lamjung-1,लमजुङ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,73010,137122
Gandaki,Kaski,कास्की,4-कास्की-1,Kaski-1,कास्की क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,67410,116871
Gandaki,Kaski,कास्की,4-कास्की-2,Kaski-2,कास्की क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,50675,84133
Gandaki,Kaski,कास्की,4-कास्की-3,Kaski-3,कास्की क्षेत्र नं. 3,DECLARED,2026-06-30T21:28:05.771Z,62649,107552
Gandaki,Tanahun,तनहुँ,4-तनहुँ-1,Tanahun-1,तनहुँ क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,65419,126855
Gandaki,Tanahun,तनहुँ,4-तनहुँ-2,Tanahun-2,तनहुँ क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,62579,127491
Gandaki,Syangja,स्याङजा,4-स्याङजा-1,Syangja-1,स्याङजा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,68036,130874
Gandaki,Syangja,स्याङजा,4-स्याङजा-2,Syangja-2,स्याङजा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,62266,117917
Lumbini,Gulmi,गुल्मी,5-गुल्मी-1,Gulmi-1,गुल्मी क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,62880,122152
Lumbini,Gulmi,गुल्मी,5-गुल्मी-2,Gulmi-2,गुल्मी क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,51944,107332
Lumbini,Palpa,पाल्पा,5-पाल्पा-1,Palpa-1,पाल्पा क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,51824,98355
Lumbini,Palpa,पाल्पा,5-पाल्पा-2,Palpa-2,पाल्पा क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,58140,109033
Lumbini,Arghakhanchi,अर्घाखाँची,5-अर्घाखाँची-1,Arghakhanchi-1,अर्घाखाँची क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,83306,171643
Gandaki,Nawalpur,नवलपरासी (बर्दघाट सुस्ता पूर्व),4-नवलपरासी (बर्दघाट सुस्ता पूर्व)-1,Nawalpur-1,नवलपरासी (बर्दघाट सुस्ता पूर्व) क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,81558,137034
Gandaki,Nawalpur,नवलपरासी (बर्दघाट सुस्ता पूर्व),4-नवलपरासी (बर्दघाट सुस्ता पूर्व)-2,Nawalpur-2,नवलपरासी (बर्दघाट सुस्ता पूर्व) क्षेत्र नं. 2,DECLARED,2026-06-30T21:28:05.771Z,76230,131364
Lumbini,Rupandehi,रूपन्देही,5-रूपन्देही-1,Rupandehi-1,रूपन्देही क्षेत्र नं. 1,DECLARED,2026-06-30T21:28:05.771Z,92000,146805
